ProvinceCode,RegistrationMonth,RegistrationYear,Spouse1Age,Spouse2Age,AgeDiff
Western Cape,October,2018,29,38,Spouses-1 younger
Western Cape,October,2018,30,23,Spouses-1 older
Western Cape,October,2018,29,29,Spouses same age
Western Cape,October,2018,35,32,Spouses-1 older
Western Cape,October,2018,43,46,Spouses-1 younger
Western Cape,October,2018,35,34,Spouses-1 older
Western Cape,October,2018,56,54,Spouses-1 older
Western Cape,October,2018,37,30,Spouses-1 older
Western Cape,October,2018,31,32,Spouses-1 younger
Western Cape,October,2018,33,32,Spouses-1 older
Western Cape,October,2018,50,50,Spouses same age
Western Cape,October,2018,27,32,Spouses-1 younger
Western Cape,October,2018,57,56,Spouses-1 older
Western Cape,October,2018,32,38,Spouses-1 younger
Western Cape,October,2018,31,30,Spouses-1 older
Western Cape,October,2018,25,35,Spouses-1 younger
Western Cape,October,2018,36,32,Spouses-1 older
Western Cape,October,2018,58,58,Spouses same age
Western Cape,October,2018,27,33,Spouses-1 younger
Western Cape,October,2018,34,39,Spouses-1 younger
Western Cape,November,2018,38,51,Spouses-1 younger
Western Cape,November,2018,51,31,Spouses-1 older
Western Cape,November,2018,36,34,Spouses-1 older
Western Cape,November,2018,39,38,Spouses-1 older
Western Cape,November,2018,48,53,Spouses-1 younger
Western Cape,November,2018,33,30,Spouses-1 older
Western Cape,November,2018,31,34,Spouses-1 younger
Western Cape,November,2018,27,25,Spouses-1 older
Western Cape,November,2018,25,45,Spouses-1 younger
Western Cape,November,2018,50,52,Spouses-1 younger
Western Cape,November,2018,29,29,Spouses same age
Western Cape,November,2018,30,39,Spouses-1 younger
Western Cape,November,2018,29,27,Spouses-1 older
Western Cape,December,2018,33,33,Spouses same age
Western Cape,December,2018,36,40,Spouses-1 younger
Western Cape,December,2018,36,35,Spouses-1 older
Western Cape,December,2018,41,29,Spouses-1 older
Western Cape,December,2018,41,42,Spouses-1 younger
Western Cape,December,2018,34,25,Spouses-1 older
Western Cape,December,2018,31,33,Spouses-1 younger
Western Cape,December,2018,59,47,Spouses-1 older
Western Cape,December,2018,31,38,Spouses-1 younger
Western Cape,December,2018,37,31,Spouses-1 older
Western Cape,December,2018,32,41,Spouses-1 younger
Western Cape,December,2018,27,27,Spouses same age
Western Cape,December,2018,37,31,Spouses-1 older
Western Cape,December,2018,42,33,Spouses-1 older
Gauteng,January,2018,32,35,Spouses-1 younger
Gauteng,October,2018,33,23,Spouses-1 older
Gauteng,November,2018,23,23,Spouses same age
Mpumalanga,April,2018,36,34,Spouses-1 older
Mpumalanga,May,2018,40,44,Spouses-1 younger
Gauteng,June,2018,73,65,Spouses-1 older
Gauteng,September,2018,47,49,Spouses-1 younger
Gauteng,January,2018,33,38,Spouses-1 younger
Gauteng,February,2018,35,30,Spouses-1 older
Gauteng,February,2018,39,56,Spouses-1 younger
Gauteng,March,2018,29,30,Spouses-1 younger
Gauteng,April,2018,47,43,Spouses-1 older
Gauteng,April,2018,32,42,Spouses-1 younger
Gauteng,May,2018,33,32,Spouses-1 older
Gauteng,May,2018,44,32,Spouses-1 older
Gauteng,May,2018,61,50,Spouses-1 older
Gauteng,June,2018,28,33,Spouses-1 younger
Gauteng,June,2018,41,42,Spouses-1 younger
Gauteng,June,2018,37,32,Spouses-1 older
Gauteng,July,2018,31,35,Spouses-1 younger
Gauteng,July,2018,34,37,Spouses-1 younger
Gauteng,July,2018,41,37,Spouses-1 older
Gauteng,July,2018,46,46,Spouses same age
